sourced_precinct_id,vf_precinct_id,sourced_county,vf_precinct_county,sourced_precinct_name,vf_precinct_name,sourced_precinct_number,vf_precinct_code,sourced_ward,vf_precinct_ward,vf_precinct_count,polling_location_ids
330010130,22218,ADA,ADA,1413,Ada - 1413,1413,1413,,,707,440010120
330010015,2294,ADA,ADA,1812,Ada - 1812,1812,1812,,,841,440010012
330010044,22200,ADA,ADA,1702,Ada - 1702,1702,1702,,,843,440010039
330010061,22274,ADA,ADA,1511,Ada - 1511,1511,1511,,,627,440010055
330010126,22277,ADA,ADA,2008,Ada - 2008,2008,2008,,,1138,440010116
330010084,22500,ADA,ADA,1814,Ada - 1814,1814,1814,,,855,440010076
330010047,22193,ADA,ADA,1615,Ada - 1615,1615,1615,,,1026,440010042
330010023,22281,ADA,ADA,1604,Ada - 1604,1604,1604,,,758,440010019
330010078,2226,ADA,ADA,2114,Ada - 2114,2114,2114,,,992,440010070
330010079,22243,ADA,ADA,1709,Ada - 1709,1709,1709,,,781,440010071
330010082,22115,ADA,ADA,1508,Ada - 1508,1508,1508,,,806,440010074
330010011,22159,ADA,ADA,2109,Ada - 2109,2109,2109,,,793,440010009
330010093,22108,ADA,ADA,1805,Ada - 1805,1805,1805,,,1242,440010084
330010010,22271,ADA,ADA,1803,Ada - 1803,1803,1803,,,628,440010009
330010033,2229,ADA,ADA,1712,Ada - 1712,1712,1712,,,689,440010028
330010019,22150,ADA,ADA,2115,Ada - 2115,2115,2115,,,989,440010016
330010120,22517,ADA,ADA,2103,Ada - 2103,2103,2103,,,591,440010110
330010066,22257,ADA,ADA,1714,Ada - 1714,1714,1714,,,957,440010059
330010101,2249,ADA,ADA,1402,Ada - 1402,1402,1402,,,561,440010091
330010092,2295,ADA,ADA,1915,Ada - 1915,1915,1915,,,914,440010083
330010116,22231,ADA,ADA,2201,Ada - 2201,2201,2201,,,712,440010106
330010121,22260,ADA,ADA,1512,Ada - 1512,1512,1512,,,636,440010111
330010071,2292,ADA,ADA,1706,Ada - 1706,1706,1706,,,1020,440010063
330010062,2225,ADA,ADA,1801,Ada - 1801,1801,1801,,,670,440010056
330010025,2210,ADA,ADA,1503,Ada - 1503,1503,1503,,,713,440010021
330010131,22205,ADA,ADA,2204,Ada - 2204,2204,2204,,,917,440010121
330010095,22416,ADA,ADA,1415,Ada - 1415,1415,1415,,,652,440010085
330010098,22667,ADA,ADA,1416,Ada - 1416,1416,1416,,,692,440010088
330010112,22556,ADA,ADA,2212,Ada - 2212,2212,2212,,,622,440010102
330010046,2211,ADA,ADA,1502,Ada - 1502,1502,1502,,,922,440010041
330010008,22236,ADA,ADA,1504,Ada - 1504,1504,1504,,,1124,440010007
330010055,22138,ADA,ADA,1501,Ada - 1501,1501,1501,,,983,440010050
330010141,22524,ADA,ADA,2206,Ada - 2206,2206,2206,,,729,440010130
330010104,22563,ADA,ADA,1409,Ada - 1409,1409,1409,,,695,440010094
330010031,2296,ADA,ADA,1507,Ada - 1507,1507,1507,,,837,440010026
330010036,22203,ADA,ADA,1901,Ada - 1901,1901,1901,,,774,440010031
330010139,22229,ADA,ADA,2101,Ada - 2101,2101,2101,,,1048,440010129
330010087,22480,ADA,ADA,2002,Ada - 2002,2002,2002,,,1172,440010079
330010089,22285,ADA,ADA,1509,Ada - 1509,1509,1509,,,1250,440010080
330010041,22105,ADA,ADA,1513,Ada - 1513,1513,1513,,,648,440010036
330010020,22224,ADA,ADA,2107,Ada - 2107,2107,2107,,,617,440010017
330010142,22666,ADA,ADA,1412,Ada - 1412,1412,1412,,,261,440010131
330010122,22284,ADA,ADA,2007,Ada - 2007,2007,2007,,,870,440010112
330010042,2281,ADA,ADA,1606,Ada - 1606,1606,1606,,,823,440010037
330010040,2299,ADA,ADA,1610,Ada - 1610,1610,1610,,,1042,440010035
330010030,2214,ADA,ADA,1711,Ada - 1711,1711,1711,,,703,440010025
330010035,22195,ADA,ADA,1705,Ada - 1705,1705,1705,,,806,440010030
330010022,22672,ADA,ADA,2013,Ada - 2013,2013,2013,,,680,440010018
330010080,22400,ADA,ADA,1514,Ada - 1514,1514,1514,,,568,440010072
330010052,22153,ADA,ADA,1811,Ada - 1811,1811,1811,,,754,440010047
330010091,2288,ADA,ADA,1715,Ada - 1715,1715,1715,,,1053,440010082
330010049,22219,ADA,ADA,2111,Ada - 2111,2111,2111,,,837,440010044
330010114,22831,ADA,ADA,2213,Ada - 2213,2213,2213,,,56,440010104
330010064,2236,ADA,ADA,1703,Ada - 1703,1703,1703,,,891,440010057
330010135,22252,ADA,ADA,1414,Ada - 1414,1414,1414,,,1084,440010125
330010138,22659,ADA,ADA,2214,Ada - 2214,2214,2214,,,549,440010128
330010057,22154,ADA,ADA,1707,Ada - 1707,1707,1707,,,693,440010052
330010102,22125,ADA,ADA,1410,Ada - 1410,1410,1410,,,764,440010092
330010016,22143,ADA,ADA,1609,Ada - 1609,1609,1609,,,754,440010013
330010073,2235,ADA,ADA,1810,Ada - 1810,1810,1810,,,695,440010065
330010051,22103,ADA,ADA,1818,Ada - 1818,1818,1818,,,819,440010046
330010117,22256,ADA,ADA,2009,Ada - 2009,2009,2009,,,1381,440010107
330010110,22196,ADA,ADA,2209,Ada - 2209,2209,2209,,,733,440010100
330010094,22142,ADA,ADA,1806,Ada - 1806,1806,1806,,,858,440010084
330010037,22116,ADA,ADA,1909,Ada - 1909,1909,1909,,,874,440010032
330010017,2239,ADA,ADA,1914,Ada - 1914,1914,1914,,,800,440010014
330010086,22192,ADA,ADA,1710,Ada - 1710,1710,1710,,,550,440010078
330010140,22693,ADA,ADA,2205,Ada - 2205,2205,2205,,,402,440010130
330030005,22798,ADAMS,ADAMS,6,Adams - 006,6,6,,,32,440030005
330030002,22597,ADAMS,ADAMS,2,Adams - 002,2,2,,,325,440030002
330030003,22596,ADAMS,ADAMS,3,Adams - 003,3,3,,,419,440030003
330030001,22609,ADAMS,ADAMS,4,Adams - 004,4,4,,,22,440030001
330030004,22607,ADAMS,ADAMS,1,Adams - 001,1,1,,,114,440030004
330030006,22600,ADAMS,ADAMS,5,Adams - 005,5,5,,,526,440030006
330050050,22291,BANNOCK,BANNOCK,18,Pocatello 18,18,18,,,410,440050031
330050029,22351,BANNOCK,BANNOCK,27,Pocatello 27,27,27,,,246,440050018
330050014,22466,BANNOCK,BANNOCK,65,McCammon 65,65,65,,,446,440050009
330050048,22412,BANNOCK,BANNOCK,20,Pocatello 20,20,20,,,380,440050029
330050009,22369,BANNOCK,BANNOCK,54,Chubbuck 54,54,54,,,313,440050005
330050036,22319,BANNOCK,BANNOCK,7,Pocatello 07,7,7,,,372,440050021
330050041,22216,BANNOCK,BANNOCK,1,Pocatello 01,1,1,,,395,440050026
330050049,22451,BANNOCK,BANNOCK,57,Chubbuck 57,57,57,,,421,440050030
330050040,22415,BANNOCK,BANNOCK,9,Pocatello 09,9,9,,,366,440050025
330050045,22357,BANNOCK,BANNOCK,34,Pocatello 34,34,34,,,345,440050028
330050023,22390,BANNOCK,BANNOCK,22,Pocatello 22,22,22,,,451,440050016
330050010,22549,BANNOCK,BANNOCK,62,Downey 62,62,62,,,293,440050006
330050002,22289,BANNOCK,BANNOCK,55,Chubbuck 55,55,55,,,533,440050002
330050051,225,BANNOCK,BANNOCK,17,Pocatello 17,17,17,,,428,440050032
330050035,22440,BANNOCK,BANNOCK,8,Pocatello 08,8,8,,,355,440050020
330050018,22397,BANNOCK,BANNOCK,66,Mink Creek 66,66,66,,,427,440050012
330050055,22308,BANNOCK,BANNOCK,13,Pocatello 13,13,13,,,450,440050034
330050012,22417,BANNOCK,BANNOCK,67,Pebble Creek 67,67,67,,,296,440050007
330050033,2268,BANNOCK,BANNOCK,3,Pocatello 03,3,3,,,349,440050019
330050046,2248,BANNOCK,BANNOCK,39,Pocatello 39,39,39,,,382,440050028
330050057,2222,BANNOCK,BANNOCK,10,Pocatello 10,10,10,,,487,440050035
330050027,22455,BANNOCK,BANNOCK,37,Pocatello 37,37,37,,,413,440050017
330050007,22134,BANNOCK,BANNOCK,58,Chubbuck 58,58,58,,,276,440050004
330050044,2216,BANNOCK,BANNOCK,25,Pocatello 25,25,25,,,363,440050027
330050032,22391,BANNOCK,BANNOCK,2,Pocatello 02,2,2,,,410,440050019
330050039,22129,BANNOCK,BANNOCK,14,Pocatello 14,14,14,,,450,440050024
330050043,2274,BANNOCK,BANNOCK,24,Pocatello 24,24,24,,,363,440050027
330050047,22267,BANNOCK,BANNOCK,41,Pocatello 41,41,41,,,409,440050028
330050059,2221,BANNOCK,BANNOCK,12,Pocatello 12,12,12,,,414,440050035
330050004,22334,BANNOCK,BANNOCK,51,Chubbuck 51,51,51,,,465,440050003
330050052,22312,BANNOCK,BANNOCK,21,Pocatello 21,21,21,,,387,440050032
330050053,22452,BANNOCK,BANNOCK,59,Chubbuck 59,59,59,,,298,440050033
330050030,2275,BANNOCK,BANNOCK,32,Pocatello 32,32,32,,,238,440050018
330050005,22362,BANNOCK,BANNOCK,52,Chubbuck 52,52,52,,,316,440050003
330050008,22393,BANNOCK,BANNOCK,50,Chubbuck 50,50,50,,,482,440050005
330050042,22304,BANNOCK,BANNOCK,4,Pocatello 04,4,4,,,556,440050026
330050038,22358,BANNOCK,BANNOCK,19,Pocatello 19,19,19,,,278,440050023
330050031,2245,BANNOCK,BANNOCK,42,Pocatello 42,42,42,,,342,440050018
330050037,22300,BANNOCK,BANNOCK,5,Pocatello 05,5,5,,,426,440050022
330050021,22388,BANNOCK,BANNOCK,40,Pocatello 40,40,40,,,255,440050014
330050028,226,BANNOCK,BANNOCK,38,Pocatello 38,38,38,,,362,440050017
330050003,22441,BANNOCK,BANNOCK,56,Chubbuck 56,56,56,,,483,440050002
330050022,22187,BANNOCK,BANNOCK,28,Pocatello 28,28,28,,,509,440050015
330050026,22303,BANNOCK,BANNOCK,36,Pocatello 36,36,36,,,457,440050017
330050013,22288,BANNOCK,BANNOCK,64,Lava Hot Springs 64,64,64,,,369,440050008
330050001,22503,BANNOCK,BANNOCK,61,Arimo 61,61,61,,,257,440050001
330050017,22329,BANNOCK,BANNOCK,43,Pocatello 43,43,43,,,538,440050011
330050011,22456,BANNOCK,BANNOCK,63,Inkom 63,63,63,,,362,440050007
330050034,2277,BANNOCK,BANNOCK,6,Pocatello 06,6,6,,,506,440050020
330050019,2246,BANNOCK,BANNOCK,26,Pocatello 26,26,26,,,437,440050013
330050056,22413,BANNOCK,BANNOCK,15,Pocatello 15,15,15,,,385,440050034
330050060,22494,BANNOCK,BANNOCK,68,Swan Lake 68,68,68,,,36,440050036
330050025,22419,BANNOCK,BANNOCK,35,Pocatello 35,35,35,,,387,440050017
330050024,2247,BANNOCK,BANNOCK,23,Pocatello 23,23,23,,,398,440050016
330050006,2260,BANNOCK,BANNOCK,53,Chubbuck 53,53,53,,,583,440050004
330050020,2276,BANNOCK,BANNOCK,31,Pocatello 31,31,31,,,375,440050013
330050054,22337,BANNOCK,BANNOCK,60,Chubbuck 60,60,60,,,64,440050033
330050058,228,BANNOCK,BANNOCK,11,Pocatello 11,11,11,,,466,440050035
330070003,22554,BEAR LAKE,BEAR LAKE,7,Bloomington,7,7,,,75,440070003
330070014,22897,BEAR LAKE,BEAR LAKE,15,St Charles,15,15,,,81,440070014
330070004,22893,BEAR LAKE,BEAR LAKE,8,Dingle,8,8,,,86,440070004
330070007,22894,BEAR LAKE,BEAR LAKE,12,Liberty,12,12,,,112,440070007
330070009,22339,BEAR LAKE,BEAR LAKE,2,Montpelier 2,2,2,,,227,440070009
330070001,22890,BEAR LAKE,BEAR LAKE,5,Bennington,5,5,,,84,440070001
330070005,22904,BEAR LAKE,BEAR LAKE,9,Fish Haven,9,9,,,105,440070005
330070002,22891,BEAR LAKE,BEAR LAKE,6,Bern,6,6,,,45,440070002
330070006,22505,BEAR LAKE,BEAR LAKE,11,Georgetown,11,11,,,214,440070006
330070008,22512,BEAR LAKE,BEAR LAKE,1,Montpelier 1,1,1,,,280,440070008
330070010,22341,BEAR LAKE,BEAR LAKE,3,Montpelier 3,3,3,,,256,440070010
330070012,22892,BEAR LAKE,BEAR LAKE,10,Geneva,10,10,,,41,440070012
330070011,22848,BEAR LAKE,BEAR LAKE,16,Bailey Creek,16,16,,,41,440070011
330070013,22862,BEAR LAKE,BEAR LAKE,13,Paris,13,13,,,171,440070013
330090007,22572,BENEWAH,BENEWAH,3,College,3,3,,,315,440090007
330090006,22575,BENEWAH,BENEWAH,2,Center,2,2,,,262,440090006
330090003,22586,BENEWAH,BENEWAH,7,Santa,7,7,,,172,440090003
330090004,22576,BENEWAH,BENEWAH,6,Plummer,6,6,,,481,440090004
330090011,22901,BENEWAH,BENEWAH,10,Tensed,10,10,,,243,440090011
330090009,22574,BENEWAH,BENEWAH,9,St. Maries,9,9,,,521,440090009
330090008,22918,BENEWAH,BENEWAH,8,St. Joe,8,8,,,27,440090008
330090010,22573,BENEWAH,BENEWAH,11,Townsite,11,11,,,408,440090010
330090002,22886,BENEWAH,BENEWAH,5,Fernwood,5,5,,,184,440090002
330090001,22583,BENEWAH,BENEWAH,4,Emida,4,4,,,126,440090001
330090005,22874,BENEWAH,BENEWAH,1,Benewah,1,1,,,109,440090005
330110012,22137,BINGHAM,BINGHAM,5,Blackfoot 5,5,5,,,539,440110007
330110003,22461,BINGHAM,BINGHAM,4,Blackfoot 4,4,4,,,505,440110003
330110023,22529,BINGHAM,BINGHAM,10,Jamestown 10,10,10,,,389,440110014
330110009,22136,BINGHAM,BINGHAM,2,Blackfoot 2,2,2,,,308,440110006
330110020,22535,BINGHAM,BINGHAM,20,Fort Hall 20,20,20,,,362,440110012
330110024,22307,BINGHAM,BINGHAM,14,Shelley 14,14,14,,,511,440110014
330110008,22248,BINGHAM,BINGHAM,1,Blackfoot 1,1,1,,,539,440110006
330110013,22306,BINGHAM,BINGHAM,17,Riverside 17,17,17,,,448,440110008
330110019,22325,BINGHAM,BINGHAM,8,Firth 8,8,8,,,491,440110011
330110016,22305,BINGHAM,BINGHAM,18,Pingree 18,18,18,,,286,440110009
330110011,22394,BINGHAM,BINGHAM,23,Blackfoot 23,23,23,,,248,440110006
330110001,22418,BINGHAM,BINGHAM,15,Abserdeen 15,15,15,,,480,440110001
330110018,22758,BINGHAM,BINGHAM,7,Firth 7,7,7,,,512,440110011
330110005,22365,BINGHAM,BINGHAM,22,Groveland 22,22,22,,,295,440110004
330110021,22355,BINGHAM,BINGHAM,13,Shelley 13,13,13,,,514,440110013
330110014,22822,BINGHAM,BINGHAM,24,Riverside 24,24,24,,,233,440110008
330110007,22338,BINGHAM,BINGHAM,25,Moreland 25,25,25,,,320,440110005
330110022,22516,BINGHAM,BINGHAM,21,Shelley West 21,21,21,,,493,440110013
330110015,22473,BINGHAM,BINGHAM,12,Rockford 12,12,12,,,361,440110009
330110025,22366,BINGHAM,BINGHAM,16,Springfield/Sterling 16,16,16,,,188,440110015
330110004,2241,BINGHAM,BINGHAM,9,Groveland 9,9,9,,,554,440110004
330110002,22311,BINGHAM,BINGHAM,6,Blackfoot 6,6,6,,,470,440110002
330110006,22302,BINGHAM,BINGHAM,11,Moreland 11,11,11,,,289,440110005
330110010,22332,BINGHAM,BINGHAM,3,Blackfoot 3,3,3,,,487,440110006
330110017,22353,BINGHAM,BINGHAM,19,Wapello 19,19,19,,,225,440110010
330130012,22732,BLAINE,BLAINE,1,Blaine - 001,1,1,,,655,440130005
330130009,22469,BLAINE,BLAINE,9,Blaine - 009,9,9,,,413,440130004
330130010,22841,BLAINE,BLAINE,10,Blaine - 010,10,10,,,389,440130004
330130011,22709,BLAINE,BLAINE,11,Blaine - 011,11,11,,,437,440130004
330130008,22238,BLAINE,BLAINE,8,Blaine - 008,8,8,,,428,440130004
330130007,22520,BLAINE,BLAINE,7,Blaine - 007,7,7,,,477,440130004
330130016,22915,BLAINE,BLAINE,16,Blaine - 016,16,16,,,4,440130007
330130002,22684,BLAINE,BLAINE,13,Blaine - 013,13,13,,,623,440130001
330130017,22513,BLAINE,BLAINE,2,Blaine - 002,2,2,,,620,440130008
330130003,22823,BLAINE,BLAINE,14,Blaine - 014,14,14,,,263,440130002
330130014,22558,BLAINE,BLAINE,4,Blaine - 004,4,4,,,685,440130005
330130006,22708,BLAINE,BLAINE,6,Blaine - 006,6,6,,,271,440130004
330130013,22733,BLAINE,BLAINE,3,Blaine - 003,3,3,,,606,440130005
330130005,22527,BLAINE,BLAINE,5,Blaine - 005,5,5,,,540,440130004
330130001,22741,BLAINE,BLAINE,12,Blaine - 012,12,12,,,256,440130001
330130015,22727,BLAINE,BLAINE,15,Blaine - 015,15,15,,,230,440130006
330150001,22368,BOISE,BOISE,70,Mores Creek,70,70,,,689,440150001
330150003,2240,BOISE,BOISE,30,Garden Valley,30,30,,,728,440150003
330150004,22148,BOISE,BOISE,40,Horseshoe Bend,40,40,,,543,440150004
330150006,22734,BOISE,BOISE,50,Idaho City,50,50,,,422,440150006
330150002,22753,BOISE,BOISE,80,Placerville,80,80,,,145,440150002
330150007,22748,BOISE,BOISE,60,Lowman,60,60,,,107,440150007
330170020,22824,BONNER,BONNER,EAPR,East Priest River,EAPR,EAPR,,,445,440170020
330170011,22638,BONNER,BONNER,HOPE,Hope,HOPE,HOPE,,,389,440170011
330170002,22913,BONNER,BONNER,LAKV,Lakeview,LAKV,LAKV,,,110,440170002
330170001,22645,BONNER,BONNER,SPVY,Spirit Valley,SPVY,SPVY,,,484,440170001
330170026,22472,BONNER,BONNER,BALD,Baldy,BALD,BALD,,,726,440170026
330170015,22624,BONNER,BONNER,LAMB,Lamb Creek,LAMB,LAMB,,,256,440170015
330170033,22617,BONNER,BONNER,WREN,Wrenco,WREN,WREN,,,159,440170033
330170008,22604,BONNER,BONNER,SOSD,Southside,SOSD,SOSD,,,333,440170008
330170024,22525,BONNER,BONNER,KOOT,Kootenai,KOOT,KOOT,,,935,440170024
330170021,22614,BONNER,BONNER,GAML,Gamlin Lake,GAML,GAML,,,299,440170021
330170030,22627,BONNER,BONNER,SELL,Selle,SELL,SELL,,,427,440170030
330170029,22623,BONNER,BONNER,GRCK,Grouse Creek,GRCK,GRCK,,,354,440170029
330170023,22615,BONNER,BONNER,ALGO,Algoma,ALGO,ALGO,,,460,440170023
330170006,22605,BONNER,BONNER,WMND,Westmond,WMND,WMND,,,442,440170006
330170014,22735,BONNER,BONNER,PRLK,Priest Lake,PRLK,PRLK,,,110,440170014
330170003,22121,BONNER,BONNER,CKFK,Clark Fork,CKFK,CKFK,,,359,440170003
330170022,22555,BONNER,BONNER,SAGL,Sagle,SAGL,SAGL,,,641,440170022
330170017,22613,BONNER,BONNER,EDGM,Edgemere,EDGM,EDGM,,,581,440170017
330170018,22821,BONNER,BONNER,PRWC,Priest River West City,PRWC,PRWC,,,185,440170018
330170010,22606,BONNER,BONNER,DOVR,Dover,DOVR,DOVR,,,221,440170010
330170005,22867,BONNER,BONNER,CARW,Careywood,CARW,CARW,,,343,440170005
330170032,2269,BONNER,BONNER,SDPT,Sandpoint,SDPT,SDPT,,,549,440170032
330170004,22872,BONNER,BONNER,KELS,Kelso,KELS,KELS,,,84,440170004
330170012,22625,BONNER,BONNER,LACL,Laclede,LACL,LACL,,,226,440170012
330170025,22618,BONNER,BONNER,AIRP,Airport,AIRP,AIRP,,,477,440170025
330170007,22619,BONNER,BONNER,COLA,Cocolalla,COLA,COLA,,,234,440170007
330170028,22496,BONNER,BONNER,HUMB,Humbird,HUMB,HUMB,,,580,440170028
330170031,22620,BONNER,BONNER,ODEN,Oden,ODEN,ODEN,,,250,440170031
330170016,2220,BONNER,BONNER,BLUE,Blue Lake,BLUE,BLUE,,,217,440170016
330170009,22616,BONNER,BONNER,COLB,Colburn,COLB,COLB,,,561,440170009
330170027,22587,BONNER,BONNER,WASH,Washington,WASH,WASH,,,789,440170027
330170019,22820,BONNER,BONNER,WPRB,West Priest River Bench,WPRB,WPRB,,,206,440170019
330170013,22543,BONNER,BONNER,OLDT,Oldtown,OLDT,OLDT,,,614,440170013
330190050,22786,BONNEVILLE,BONNEVILLE,54,Bonneville - 54,54,54,,,173,440190047
330190007,22468,BONNEVILLE,BONNEVILLE,46,Bonneville - 46,46,46,,,519,440190007
330190019,22770,BONNEVILLE,BONNEVILLE,4,Bonneville - 04,4,4,,,325,440190019
330190032,22434,BONNEVILLE,BONNEVILLE,37,Bonneville - 37,37,37,,,365,440190032
330190040,2254,BONNEVILLE,BONNEVILLE,18,Bonneville - 18,18,18,,,526,440190039
330190041,22211,BONNEVILLE,BONNEVILLE,48,Bonneville - 48,48,48,,,705,440190040
330190049,22785,BONNEVILLE,BONNEVILLE,55,Bonneville - 55,55,55,,,254,440190046
330190027,22317,BONNEVILLE,BONNEVILLE,19,Bonneville - 19,19,19,,,480,440190027
330190012,22177,BONNEVILLE,BONNEVILLE,2,Bonneville - 02,2,2,,,582,440190012
330190031,2215,BONNEVILLE,BONNEVILLE,38,Bonneville - 38,38,38,,,427,440190031
330190026,22356,BONNEVILLE,BONNEVILLE,17,Bonneville - 17,17,17,,,582,440190026
330190033,22324,BONNEVILLE,BONNEVILLE,24,Bonneville - 24,24,24,,,636,440190033
330190021,2258,BONNEVILLE,BONNEVILLE,12,Bonneville - 12,12,12,,,514,440190021
330190035,22498,BONNEVILLE,BONNEVILLE,14,Bonneville - 14,14,14,,,471,440190035
330190036,2237,BONNEVILLE,BONNEVILLE,13,Bonneville - 13,13,13,,,627,440190036
