vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
22549,BANNOCK,,Downey 62,62,293
22842,LINCOLN,,4 Richfield,4,286
22515,LEMHI,,Brooklyn,3,893
22683,CANYON,,Canyon - 29,29,828
22660,CANYON,,Canyon - 69,69,798
22700,KOOTENAI,,Kootenai - 65,65,432
22562,ADA,,Ada - 1401,1401,495
22331,CUSTER,,Custer - 006,6,254
2215,BONNEVILLE,,Bonneville - 38,38,427
22838,LEWIS,,E Kamiah,3,113
22510,ONEIDA,,Oneida - 004,4,228
22877,NEZ PERCE,,Nez Perce - 32,32,106
22158,ADA,,Ada - 1802,1802,940
22356,BONNEVILLE,,Bonneville - 17,17,582
2243,ELMORE,,Mt. Home #2,MH #2,663
22435,TETON,,Teton - 004,4,466
22632,GEM,,11 Bench,11-BN,373
22235,CANYON,,Canyon - 27,27,795
22617,BONNER,,Wrenco,WREN,159
22324,BONNEVILLE,,Bonneville - 24,24,636
22542,FREMONT,,Fremont - 007,7,383
2279,CANYON,,Canyon - 71,71,549
22354,JEFFERSON,,Grant,4,313
22289,BANNOCK,,Chubbuck 55,55,533
225,BANNOCK,,Pocatello 17,17,428
2258,BONNEVILLE,,Bonneville - 12,12,514
22440,BANNOCK,,Pocatello 08,8,355
22232,TWIN FALLS,,Twin Falls 10,TF010,403
22604,BONNER,,Southside,SOSD,333
22352,TWIN FALLS,,Kimberly 3,KI003,433
22344,MADISON,,Madison - 002,2,469
22694,CANYON,,Canyon - 59,59,671
2264,LATAH,,Moscow 04,04MOS,436
22120,ADA,,Ada - 1809,1809,1032
22654,PAYETTE,,Payette - 010,10,121
22738,CASSIA,,Oakley 2,118,222
22737,OWYHEE,,Wilson,6,248
22800,KOOTENAI,,Kootenai - 31,31,257
22602,MADISON,,Madison - 012,12,220
22868,SHOSHONE,,Shoshone - 01,1,98
2280,ADA,,Ada - 2006,2006,857
22716,LINCOLN,,1 Shoshone,1,228
22270,CANYON,,Canyon - 79,79,851
22261,TWIN FALLS,,Twin Falls 07,TF007,538
22137,BINGHAM,,Blackfoot 5,5,539
22119,KOOTENAI,,Kootenai - 51,51,457
22469,BLAINE,,Blaine - 009,9,413
22715,MINIDOKA,,Acequia,1,351
22326,GOODING,,2 Gooding City,P2,823
22102,CANYON,,Canyon - 82,82,702
22909,CASSIA,,Bridge,110,24
22250,MADISON,,Madison - 005,5,576
22145,ELMORE,,Atlanta,AT #1,30
22156,ADA,,Ada - 1903,1903,327
22830,LATAH,,Viola 30,30VIO,192
2242,ADA,,Ada - 1916,1916,725
22840,CLEARWATER,,Greer,7,25
22839,CLEARWATER,,Elk River,13,70
2233,ADA,,Ada - 1906,1906,905
22498,BONNEVILLE,,Bonneville - 14,14,471
22397,BANNOCK,,Mink Creek 66,66,427
22376,GEM,,09 Hanna,09-HN,421
22308,BANNOCK,,Pocatello 13,13,450
22198,CANYON,,Canyon - 37,37,531
22381,JEROME,,Hazelton,5,485
22673,LATAH,,Kendrick 24,24KEN,203
22321,POWER,,Power - 001,1,367
22711,JEROME,,Eden,3,269
22426,ADA,,Ada - 1404,1404,709
22799,IDAHO,,Whitebird,25,200
22417,BANNOCK,,Pebble Creek 67,67,296
22514,KOOTENAI,,Kootenai - 21,21,541
22525,BONNER,,Kootenai,KOOT,935
22449,IDAHO,,Grangeville 1,10,317
22614,BONNER,,Gamlin Lake,GAML,299
22653,PAYETTE,,Payette - 008,8,832
22897,BEAR LAKE,,St Charles,15,81
22183,GEM,,01 Central,01-CE,397
22889,ELMORE,,Chattin Flats,CF #1,40
22681,ADA,,Ada - 1904,1904,682
22795,IDAHO,,Cottonwood 2,4,198
2268,BANNOCK,,Pocatello 03,3,349
22841,BLAINE,,Blaine - 010,10,389
22649,NEZ PERCE,,Nez Perce - 04,4,389
22676,LATAH,,Cora 31,31COR,116
22511,MINIDOKA,,Rupert #4,10,395
22593,KOOTENAI,,Kootenai - 52,52,450
22709,BLAINE,,Blaine - 011,11,437
22139,NEZ PERCE,,Nez Perce - 19,19,451
22463,MADISON,,Madison - 013,13,235
22627,BONNER,,Selle,SELL,427
22876,IDAHO,,Grangeville 2,11,308
22717,MINIDOKA,,Paul,5,455
2248,BANNOCK,,Pocatello 39,39,382
22866,LEWIS,,Nez Perce,1,237
22476,ADA,,Ada - 2001,2001,515
227,LATAH,,Moscow 06,06MOS,531
22457,CASSIA,,Burley 5,105,347
22238,BLAINE,,Blaine - 008,8,428
2231,ADA,,Ada - 1701,1701,742
22586,BENEWAH,,Santa,7,172
22279,CANYON,,Canyon - 57,57,908
22346,TWIN FALLS,,Twin Falls 08,TF008,425
22539,KOOTENAI,,Kootenai - 28,28,874
2222,BANNOCK,,Pocatello 10,10,487
22729,MINIDOKA,,Rupert #1,7,345
22104,ADA,,Ada - 1905,1905,711
22695,ELMORE,,Pine,PI #1,71
