precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330010106,ADA,1601,1601,,440010096,Idaho Elections Division,
330010107,ADA,1608,1608,,440010097,Idaho Elections Division,
330010108,ADA,2207,2207,,440010098,Idaho Elections Division,
330010109,ADA,2211,2211,,440010099,Idaho Elections Division,
330010110,ADA,2209,2209,,440010100,Idaho Elections Division,
330010111,ADA,2210,2210,,440010101,Idaho Elections Division,
330010112,ADA,2212,2212,,440010102,Idaho Elections Division,
330010113,ADA,2208,2208,,440010103,Idaho Elections Division,
330010114,ADA,2213,2213,,440010104,Idaho Elections Division,
330010115,ADA,2202,2202,,440010105,Idaho Elections Division,
330010116,ADA,2201,2201,,440010106,Idaho Elections Division,
330010117,ADA,2009,2009,,440010107,Idaho Elections Division,
330010118,ADA,2001,2001,,440010108,Idaho Elections Division,
330010119,ADA,2003,2003,,440010109,Idaho Elections Division,
330010120,ADA,2103,2103,,440010110,Idaho Elections Division,
330010121,ADA,1512,1512,,440010111,Idaho Elections Division,
330010122,ADA,2007,2007,,440010112,Idaho Elections Division,
330010123,ADA,2110,2110,,440010113,Idaho Elections Division,
330010124,ADA,1419,1419,,440010114,Idaho Elections Division,
330010125,ADA,2012,2012,,440010115,Idaho Elections Division,
330010126,ADA,2008,2008,,440010116,Idaho Elections Division,
330010127,ADA,2203,2203,,440010117,Idaho Elections Division,
330010128,ADA,1417,1417,,440010118,Idaho Elections Division,
330010129,ADA,2102,2102,,440010119,Idaho Elections Division,
330010130,ADA,1413,1413,,440010120,Idaho Elections Division,
330010131,ADA,2204,2204,,440010121,Idaho Elections Division,
330010132,ADA,1418,1418,,440010122,Idaho Elections Division,
330010133,ADA,2005,2005,,440010123,Idaho Elections Division,
330010134,ADA,2010,2010,,440010124,Idaho Elections Division,
330010135,ADA,1414,1414,,440010125,Idaho Elections Division,
330010136,ADA,2004,2004,,440010126,Idaho Elections Division,
330010137,ADA,2106,2106,,440010127,Idaho Elections Division,
330010138,ADA,2214,2214,,440010128,Idaho Elections Division,
330010139,ADA,2101,2101,,440010129,Idaho Elections Division,
330010140,ADA,2205,2205,,440010130,Idaho Elections Division,
330010141,ADA,2206,2206,,440010130,Idaho Elections Division,
330010142,ADA,1412,1412,,440010131,Idaho Elections Division,
330010143,ADA,1404,1404,,440010132,Idaho Elections Division,
330010144,ADA,1401,1401,,440010133,Idaho Elections Division,
330010145,ADA,1405,1405,,440010134,Idaho Elections Division,
330030001,ADAMS,4,4,,440030001,Idaho Elections Division,
330030002,ADAMS,2,2,,440030002,Idaho Elections Division,
330030003,ADAMS,3,3,,440030003,Idaho Elections Division,
330030004,ADAMS,1,1,,440030004,Idaho Elections Division,
330030005,ADAMS,6,6,,440030005,Idaho Elections Division,
330030006,ADAMS,5,5,,440030006,Idaho Elections Division,
330050001,BANNOCK,61,61,,440050001,Idaho Elections Division,
330050002,BANNOCK,55,55,,440050002,Idaho Elections Division,
330050003,BANNOCK,56,56,,440050002,Idaho Elections Division,
330050004,BANNOCK,51,51,,440050003,Idaho Elections Division,
330050005,BANNOCK,52,52,,440050003,Idaho Elections Division,
330050006,BANNOCK,53,53,,440050004,Idaho Elections Division,
330050007,BANNOCK,58,58,,440050004,Idaho Elections Division,
330050008,BANNOCK,50,50,,440050005,Idaho Elections Division,
330050009,BANNOCK,54,54,,440050005,Idaho Elections Division,
330050010,BANNOCK,62,62,,440050006,Idaho Elections Division,
330050011,BANNOCK,63,63,,440050007,Idaho Elections Division,
330050012,BANNOCK,67,67,,440050007,Idaho Elections Division,
330050013,BANNOCK,64,64,,440050008,Idaho Elections Division,
330050014,BANNOCK,65,65,,440050009,Idaho Elections Division,
330050015,BANNOCK,29,29,,440050010,Idaho Elections Division,
330050016,BANNOCK,30,30,,440050010,Idaho Elections Division,
330050017,BANNOCK,43,43,,440050011,Idaho Elections Division,
330050018,BANNOCK,66,66,,440050012,Idaho Elections Division,
330050019,BANNOCK,26,26,,440050013,Idaho Elections Division,
330050020,BANNOCK,31,31,,440050013,Idaho Elections Division,
330050021,BANNOCK,40,40,,440050014,Idaho Elections Division,
330050022,BANNOCK,28,28,,440050015,Idaho Elections Division,
330050023,BANNOCK,22,22,,440050016,Idaho Elections Division,
330050024,BANNOCK,23,23,,440050016,Idaho Elections Division,
330050025,BANNOCK,35,35,,440050017,Idaho Elections Division,
330050026,BANNOCK,36,36,,440050017,Idaho Elections Division,
330050027,BANNOCK,37,37,,440050017,Idaho Elections Division,
330050028,BANNOCK,38,38,,440050017,Idaho Elections Division,
330050029,BANNOCK,27,27,,440050018,Idaho Elections Division,
330050030,BANNOCK,32,32,,440050018,Idaho Elections Division,
330050031,BANNOCK,42,42,,440050018,Idaho Elections Division,
330050032,BANNOCK,2,2,,440050019,Idaho Elections Division,
330050033,BANNOCK,3,3,,440050019,Idaho Elections Division,
330050034,BANNOCK,6,6,,440050020,Idaho Elections Division,
330050035,BANNOCK,8,8,,440050020,Idaho Elections Division,
330050036,BANNOCK,7,7,,440050021,Idaho Elections Division,
330050037,BANNOCK,5,5,,440050022,Idaho Elections Division,
330050038,BANNOCK,19,19,,440050023,Idaho Elections Division,
330050039,BANNOCK,14,14,,440050024,Idaho Elections Division,
330050040,BANNOCK,9,9,,440050025,Idaho Elections Division,
330050041,BANNOCK,1,1,,440050026,Idaho Elections Division,
330050042,BANNOCK,4,4,,440050026,Idaho Elections Division,
330050043,BANNOCK,24,24,,440050027,Idaho Elections Division,
330050044,BANNOCK,25,25,,440050027,Idaho Elections Division,
330050045,BANNOCK,34,34,,440050028,Idaho Elections Division,
330050046,BANNOCK,39,39,,440050028,Idaho Elections Division,
330050047,BANNOCK,41,41,,440050028,Idaho Elections Division,
330050048,BANNOCK,20,20,,440050029,Idaho Elections Division,
330050049,BANNOCK,57,57,,440050030,Idaho Elections Division,
330050050,BANNOCK,18,18,,440050031,Idaho Elections Division,
330050051,BANNOCK,17,17,,440050032,Idaho Elections Division,
330050052,BANNOCK,21,21,,440050032,Idaho Elections Division,
330050053,BANNOCK,59,59,,440050033,Idaho Elections Division,
330050054,BANNOCK,60,60,,440050033,Idaho Elections Division,
330050055,BANNOCK,13,13,,440050034,Idaho Elections Division,
330050056,BANNOCK,15,15,,440050034,Idaho Elections Division,
330050057,BANNOCK,10,10,,440050035,Idaho Elections Division,
330050058,BANNOCK,11,11,,440050035,Idaho Elections Division,
330050059,BANNOCK,12,12,,440050035,Idaho Elections Division,
330050060,BANNOCK,68,68,,440050036,Idaho Elections Division,
330070001,BEAR LAKE,5,5,,440070001,Idaho Elections Division,
330070002,BEAR LAKE,6,6,,440070002,Idaho Elections Division,
330070003,BEAR LAKE,7,7,,440070003,Idaho Elections Division,
330070004,BEAR LAKE,8,8,,440070004,Idaho Elections Division,
330070005,BEAR LAKE,9,9,,440070005,Idaho Elections Division,
330070006,BEAR LAKE,11,11,,440070006,Idaho Elections Division,
330070007,BEAR LAKE,12,12,,440070007,Idaho Elections Division,
330070008,BEAR LAKE,1,1,,440070008,Idaho Elections Division,
330070009,BEAR LAKE,2,2,,440070009,Idaho Elections Division,
330070010,BEAR LAKE,3,3,,440070010,Idaho Elections Division,
